0,45
0.1,44.4
0.2,43.9
0.3,43.4
0.4,43
0.5,42.6
0.6,42.2
0.7,41.9
0.8,41.6
0.9,41.3
1,41
2,38.8
3,37.3
4,36.2
5,35.3
6,34.6
7,34
8,33.5
9,33
10,32.6
15,31.1
20,30.1
50,27.1
100,25.2
200,23.5
500,22.9
1e+003,19.7
1e+004,18.1
1e+006,13.8
1e+008,11.9
