0,45,0
0.1,44.4,0.0053
0.2,43.9,0.0355
0.3,43.5,0.11
0.4,43.1,0.256
0.5,42.8,0.482
0.6,42.6,0.796
0.7,42.4,1.21
0.8,42.3,1.74
0.9,42.2,2.38
1,42.3,3.15
2,46.1,18.9
